Time, PoorSignal, Attention, Meditation
1538404513.261, 0, 56, 34
1538404514.255, 0, 60, 47
1538404515.242, 0, 69, 50
1538404516.256, 0, 60, 53
1538404517.239, 0, 57, 70
1538404518.245, 0, 37, 61
1538404519.256, 0, 26, 69
1538404520.245, 0, 30, 69
1538404521.254, 0, 21, 61
1538404522.245, 0, 43, 70
1538404523.254, 0, 47, 57
1538404524.262, 0, 48, 57
1538404525.238, 0, 47, 54
1538404526.261, 0, 53, 53
1538404527.246, 0, 50, 48
1538404528.258, 26, 50, 48
1538404529.251, 0, 60, 56
1538404530.244, 0, 64, 54
1538404531.259, 0, 48, 56
1538404532.246, 0, 48, 51
1538404533.246, 0, 43, 54
1538404534.243, 0, 38, 57
1538404535.243, 0, 51, 48
1538404536.271, 0, 54, 48
1538404537.239, 0, 56, 38
1538404538.258, 0, 66, 26
1538404539.258, 0, 57, 38
1538404540.258, 0, 53, 38
1538404541.256, 0, 44, 43
1538404542.240, 0, 35, 51
1538404543.268, 0, 35, 47
1538404544.241, 0, 27, 57
1538404545.243, 0, 35, 56
1538404546.243, 0, 43, 60
1538404547.239, 0, 48, 74
1538404548.247, 0, 64, 74
1538404549.239, 0, 69, 69
1538404550.243, 0, 56, 78
1538404551.272, 0, 40, 67
1538404552.258, 0, 30, 74
1538404553.257, 0, 21, 66
1538404554.259, 0, 21, 54
1538404555.253, 26, 21, 54
1538404556.239, 0, 35, 61
1538404557.245, 0, 34, 48
1538404558.257, 0, 38, 50
1538404559.242, 0, 56, 53
1538404560.244, 0, 48, 54
1538404561.256, 26, 48, 54
1538404562.243, 0, 51, 64
1538404563.256, 0, 57, 75
1538404564.242, 0, 48, 66
1538404565.253, 0, 63, 67
1538404566.238, 0, 60, 66
1538404567.275, 0, 43, 53
1538404568.231, 0, 47, 56
1538404569.253, 0, 43, 48
1538404570.252, 0, 47, 41
1538404571.261, 25, 47, 41
1538404572.255, 25, 47, 41
1538404573.273, 0, 47, 53
1538404574.246, 0, 44, 60
1538404575.258, 0, 43, 54
1538404576.248, 0, 30, 41
1538404577.242, 0, 37, 38
1538404578.244, 0, 30, 26
1538404579.239, 0, 29, 41
1538404580.258, 0, 43, 48
1538404581.242, 0, 60, 47
1538404582.260, 0, 61, 54
1538404583.262, 0, 54, 43
1538404584.257, 0, 57, 47
1538404585.257, 0, 38, 47
1538404586.239, 0, 23, 41
1538404587.259, 0, 35, 50
1538404588.242, 0, 17, 44
1538404589.242, 0, 17, 29
1538404590.256, 0, 34, 30
1538404591.247, 0, 23, 29
1538404592.258, 0, 29, 38
1538404593.237, 0, 40, 64
1538404594.256, 27, 40, 64
1538404595.257, 0, 30, 60
1538404596.241, 0, 29, 48
1538404597.256, 0, 30, 43
1538404598.237, 0, 29, 30
1538404599.290, 0, 37, 50
1538404600.252, 0, 56, 60
1538404601.241, 0, 69, 64
1538404602.261, 0, 60, 63
1538404603.246, 0, 70, 57
1538404604.254, 0, 57, 47
1538404605.229, 0, 43, 47
1538404606.243, 0, 70, 51
1538404607.272, 0, 56, 23
1538404608.240, 0, 53, 40
1538404609.246, 0, 64, 43
1538404610.260, 0, 57, 43
1538404611.245, 0, 53, 69
1538404612.257, 0, 54, 61
1538404613.244, 0, 63, 56
1538404614.272, 0, 54, 64
1538404615.230, 0, 61, 56
1538404616.246, 0, 60, 60
1538404617.242, 0, 53, 64
1538404618.241, 0, 51, 57
1538404619.258, 0, 60, 69
1538404620.242, 0, 60, 75
1538404621.243, 0, 44, 61
1538404622.257, 0, 47, 61
1538404623.244, 0, 35, 50
1538404624.251, 0, 41, 44
1538404625.262, 0, 51, 56
1538404626.256, 0, 44, 47
1538404627.238, 0, 47, 50
1538404628.241, 0, 44, 51
1538404629.273, 0, 40, 44
1538404630.246, 0, 43, 47
